,gender,age,time,distance,year,time_seconds
407,F,19,1:25:33,15K,2016,5133
408,F,58,1:25:34,15K,2016,5134
409,F,37,1:25:36,15K,2016,5136
410,F,16,1:25:38,15K,2016,5138
411,F,15,1:25:38,15K,2016,5138
412,M,46,1:25:38,15K,2016,5138
413,M,53,1:25:40,15K,2016,5140
414,M,43,1:25:40,15K,2016,5140
415,F,25,1:25:43,15K,2016,5143
416,M,50,1:25:43,15K,2016,5143
417,M,51,1:25:43,15K,2016,5143
418,M,33,1:25:43,15K,2016,5143
419,F,32,1:25:45,15K,2016,5145
420,F,24,1:25:46,15K,2016,5146
421,F,33,1:25:54,15K,2016,5154
422,M,49,1:25:54,15K,2016,5154
423,M,39,1:25:56,15K,2016,5156
424,M,48,1:25:56,15K,2016,5156
425,F,26,1:26:07,15K,2016,5167
426,F,36,1:26:08,15K,2016,5168
427,M,61,1:26:09,15K,2016,5169
428,M,55,1:26:11,15K,2016,5171
429,M,63,1:26:18,15K,2016,5178
430,M,14,1:26:29,15K,2016,5189
431,M,60,1:26:32,15K,2016,5192
432,M,61,1:26:32,15K,2016,5192
433,M,48,1:26:34,15K,2016,5194
434,F,37,1:26:35,15K,2016,5195
435,M,36,1:26:37,15K,2016,5197
436,M,26,1:26:41,15K,2016,5201
437,F,26,1:26:49,15K,2016,5209
438,M,33,1:26:49,15K,2016,5209
439,M,56,1:26:51,15K,2016,5211
440,F,28,1:26:57,15K,2016,5217
441,M,55,1:27:00,15K,2016,5220
442,F,31,1:27:03,15K,2016,5223
443,M,65,1:27:05,15K,2016,5225
444,M,50,1:27:07,15K,2016,5227
445,M,59,1:27:12,15K,2016,5232
446,F,18,1:27:12,15K,2016,5232
447,F,39,1:27:16,15K,2016,5236
448,F,15,1:27:18,15K,2016,5238
449,F,49,1:27:18,15K,2016,5238
450,M,61,1:27:19,15K,2016,5239
451,F,19,1:27:24,15K,2016,5244
452,F,26,1:27:27,15K,2016,5247
453,M,18,1:27:27,15K,2016,5247
454,M,19,1:27:28,15K,2016,5248
455,M,48,1:27:29,15K,2016,5249
456,M,40,1:27:35,15K,2016,5255
457,M,34,1:27:53,15K,2016,5273
458,F,46,1:27:56,15K,2016,5276
459,F,43,1:27:58,15K,2016,5278
460,F,51,1:28:01,15K,2016,5281
461,M,30,1:28:09,15K,2016,5289
462,F,31,1:28:09,15K,2016,5289
463,F,38,1:28:10,15K,2016,5290
464,M,25,1:28:11,15K,2016,5291
465,M,31,1:28:27,15K,2016,5307
466,M,30,1:28:27,15K,2016,5307
467,M,33,1:28:29,15K,2016,5309
468,F,54,1:28:31,15K,2016,5311
469,M,31,1:28:34,15K,2016,5314
470,F,25,1:28:37,15K,2016,5317
471,M,28,1:28:38,15K,2016,5318
472,F,45,1:28:48,15K,2016,5328
473,F,38,1:28:53,15K,2016,5333
474,M,57,1:28:54,15K,2016,5334
475,M,33,1:28:59,15K,2016,5339
476,M,36,1:29:00,15K,2016,5340
477,M,55,1:29:07,15K,2016,5347
478,M,51,1:29:09,15K,2016,5349
479,F,34,1:29:13,15K,2016,5353
480,F,60,1:29:13,15K,2016,5353
481,F,37,1:29:13,15K,2016,5353
482,M,60,1:29:14,15K,2016,5354
483,F,20,1:29:18,15K,2016,5358
484,F,47,1:29:23,15K,2016,5363
485,M,20,1:29:24,15K,2016,5364
486,M,62,1:29:26,15K,2016,5366
487,M,26,1:29:30,15K,2016,5370
488,F,24,1:29:31,15K,2016,5371
489,F,36,1:29:34,15K,2016,5374
490,M,46,1:29:39,15K,2016,5379
491,M,31,1:29:40,15K,2016,5380
492,M,41,1:29:48,15K,2016,5388
493,F,27,1:29:54,15K,2016,5394
494,F,40,1:29:55,15K,2016,5395
495,M,37,1:29:57,15K,2016,5397
496,M,39,1:30:00,15K,2016,5400
497,F,34,1:30:01,15K,2016,5401
498,M,41,1:30:06,15K,2016,5406
499,F,35,1:30:08,15K,2016,5408
500,F,43,1:30:09,15K,2016,5409
501,F,34,1:30:27,15K,2016,5427
502,F,43,1:30:27,15K,2016,5427
503,M,40,1:30:28,15K,2016,5428
504,M,24,1:30:29,15K,2016,5429
505,M,58,1:30:35,15K,2016,5435
506,F,30,1:30:48,15K,2016,5448
507,M,36,1:30:51,15K,2016,5451
508,F,59,1:30:53,15K,2016,5453
509,M,35,1:30:55,15K,2016,5455
510,M,32,1:30:55,15K,2016,5455
511,F,25,1:30:56,15K,2016,5456
512,F,19,1:30:58,15K,2016,5458
513,M,45,1:30:58,15K,2016,5458
514,F,28,1:31:08,15K,2016,5468
515,M,38,1:31:09,15K,2016,5469
516,M,32,1:31:09,15K,2016,5469
517,M,37,1:31:10,15K,2016,5470
518,M,28,1:31:13,15K,2016,5473
519,M,58,1:31:25,15K,2016,5485
520,F,20,1:31:26,15K,2016,5486
521,M,54,1:31:26,15K,2016,5486
522,F,48,1:31:27,15K,2016,5487
523,M,36,1:31:28,15K,2016,5488
524,M,27,1:31:36,15K,2016,5496
525,M,19,1:31:39,15K,2016,5499
526,F,46,1:31:44,15K,2016,5504
527,F,34,1:31:49,15K,2016,5509
528,M,30,1:31:49,15K,2016,5509
529,M,74,1:31:52,15K,2016,5512
530,M,40,1:31:56,15K,2016,5516
531,F,39,1:32:04,15K,2016,5524
532,F,32,1:32:05,15K,2016,5525
533,M,64,1:32:08,15K,2016,5528
534,F,38,1:32:14,15K,2016,5534
535,F,31,1:32:18,15K,2016,5538
536,F,46,1:32:19,15K,2016,5539
537,F,59,1:32:19,15K,2016,5539
538,M,27,1:32:25,15K,2016,5545
539,M,43,1:32:28,15K,2016,5548
540,M,23,1:32:30,15K,2016,5550
541,F,50,1:32:33,15K,2016,5553
542,M,32,1:32:34,15K,2016,5554
543,F,19,1:32:35,15K,2016,5555
544,M,60,1:32:39,15K,2016,5559
545,M,75,1:32:40,15K,2016,5560
546,M,46,1:32:45,15K,2016,5565
547,F,56,1:32:49,15K,2016,5569
548,F,38,1:32:55,15K,2016,5575
549,M,68,1:32:57,15K,2016,5577
550,F,56,1:32:59,15K,2016,5579
551,F,29,1:33:03,15K,2016,5583
552,F,60,1:33:03,15K,2016,5583
553,M,31,1:33:11,15K,2016,5591
554,M,57,1:33:13,15K,2016,5593
555,M,75,1:33:13,15K,2016,5593
556,M,29,1:33:17,15K,2016,5597
557,M,44,1:33:23,15K,2016,5603
558,M,38,1:33:28,15K,2016,5608
559,M,30,1:33:36,15K,2016,5616
560,F,44,1:33:44,15K,2016,5624
561,F,32,1:33:48,15K,2016,5628
562,F,53,1:33:50,15K,2016,5630
563,M,49,1:33:52,15K,2016,5632
564,M,61,1:33:53,15K,2016,5633
565,F,44,1:33:55,15K,2016,5635
566,M,38,1:34:10,15K,2016,5650
567,M,41,1:34:15,15K,2016,5655
568,F,54,1:34:15,15K,2016,5655
569,F,49,1:34:16,15K,2016,5656
570,M,36,1:34:21,15K,2016,5661
571,M,73,1:34:25,15K,2016,5665
572,M,29,1:34:29,15K,2016,5669
573,M,57,1:34:49,15K,2016,5689
574,F,56,1:34:49,15K,2016,5689
575,F,39,1:34:54,15K,2016,5694
576,M,40,1:35:04,15K,2016,5704
577,F,55,1:35:07,15K,2016,5707
578,M,21,1:35:13,15K,2016,5713
579,F,26,1:35:14,15K,2016,5714
580,F,42,1:35:17,15K,2016,5717
581,F,32,1:35:19,15K,2016,5719
582,F,57,1:35:25,15K,2016,5725
583,M,33,1:35:34,15K,2016,5734
584,M,42,1:35:35,15K,2016,5735
585,M,45,1:35:39,15K,2016,5739
586,F,53,1:35:45,15K,2016,5745
587,M,47,1:35:52,15K,2016,5752
588,F,27,1:35:52,15K,2016,5752
589,M,67,1:35:53,15K,2016,5753
590,F,50,1:35:54,15K,2016,5754
591,M,43,1:35:54,15K,2016,5754
592,M,69,1:35:56,15K,2016,5756
593,F,56,1:36:05,15K,2016,5765
594,F,35,1:36:22,15K,2016,5782
595,M,22,1:36:28,15K,2016,5788
596,M,54,1:36:29,15K,2016,5789
597,F,47,1:36:30,15K,2016,5790
598,F,33,1:36:36,15K,2016,5796
599,F,44,1:36:40,15K,2016,5800
600,F,32,1:36:40,15K,2016,5800
601,F,55,1:36:53,15K,2016,5813
602,F,32,1:37:01,15K,2016,5821
603,M,26,1:37:05,15K,2016,5825
604,F,33,1:37:19,15K,2016,5839
605,F,44,1:37:22,15K,2016,5842
606,M,51,1:37:37,15K,2016,5857
607,F,29,1:37:39,15K,2016,5859
608,M,28,1:37:56,15K,2016,5876
609,F,40,1:38:01,15K,2016,5881
610,F,37,1:38:03,15K,2016,5883
611,M,56,1:38:04,15K,2016,5884
612,F,29,1:38:06,15K,2016,5886
613,F,38,1:38:06,15K,2016,5886
614,F,42,1:38:07,15K,2016,5887
615,M,34,1:38:11,15K,2016,5891
616,F,42,1:38:12,15K,2016,5892
617,F,42,1:38:12,15K,2016,5892
618,M,51,1:38:23,15K,2016,5903
619,M,60,1:38:33,15K,2016,5913
620,F,47,1:38:35,15K,2016,5915
621,F,33,1:38:36,15K,2016,5916
622,M,32,1:38:36,15K,2016,5916
623,F,43,1:38:41,15K,2016,5921
624,F,49,1:38:41,15K,2016,5921
625,M,26,1:38:43,15K,2016,5923
626,F,57,1:38:44,15K,2016,5924
627,F,45,1:38:47,15K,2016,5927
628,F,38,1:38:55,15K,2016,5935
629,F,32,1:38:58,15K,2016,5938
630,M,65,1:39:04,15K,2016,5944
631,F,37,1:39:08,15K,2016,5948
632,M,51,1:39:29,15K,2016,5969
