,gender,age,time,year,time_seconds
947,M,23,1:17:10,2018,4630
948,F,21,1:17:10,2018,4630
949,M,52,1:17:11,2018,4631
950,M,34,1:17:14,2018,4634
951,M,31,1:17:18,2018,4638
952,M,29,1:17:21,2018,4641
953,M,40,1:17:26,2018,4646
954,M,42,1:17:31,2018,4651
955,M,41,1:17:34,2018,4654
956,F,26,1:17:36,2018,4656
957,M,56,1:17:38,2018,4658
958,M,45,1:17:59,2018,4679
959,M,36,1:18:00,2018,4680
960,M,46,1:18:02,2018,4682
961,M,32,1:18:03,2018,4683
962,F,50,1:18:05,2018,4685
963,M,37,1:18:11,2018,4691
964,F,52,1:18:13,2018,4693
965,M,40,1:18:20,2018,4700
966,M,36,1:18:28,2018,4708
967,F,31,1:18:29,2018,4709
968,M,38,1:18:31,2018,4711
969,F,27,1:18:36,2018,4716
970,M,61,1:18:40,2018,4720
971,F,36,1:18:45,2018,4725
972,M,44,1:18:46,2018,4726
973,M,39,1:18:49,2018,4729
974,M,66,1:19:11,2018,4751
975,M,50,1:19:13,2018,4753
976,F,49,1:19:25,2018,4765
977,M,40,1:19:35,2018,4775
978,M,24,1:19:53,2018,4793
979,M,57,1:19:53,2018,4793
980,M,52,1:19:58,2018,4798
981,M,16,1:20:02,2018,4802
982,M,39,1:20:03,2018,4803
983,M,31,1:20:12,2018,4812
984,M,30,1:20:18,2018,4818
985,M,34,1:20:22,2018,4822
986,F,27,1:20:23,2018,4823
987,M,44,1:20:24,2018,4824
988,F,30,1:20:27,2018,4827
989,M,36,1:20:31,2018,4831
990,M,42,1:20:35,2018,4835
991,M,42,1:20:38,2018,4838
992,M,33,1:20:43,2018,4843
993,M,59,1:20:44,2018,4844
994,M,34,1:20:48,2018,4848
995,F,27,1:20:49,2018,4849
996,F,36,1:20:49,2018,4849
997,M,41,1:20:50,2018,4850
998,M,46,1:20:54,2018,4854
999,F,49,1:21:03,2018,4863
1000,M,35,1:21:17,2018,4877
1001,M,45,1:21:22,2018,4882
1002,F,38,1:21:26,2018,4886
1003,M,31,1:21:30,2018,4890
1004,M,45,1:21:34,2018,4894
1005,F,30,1:21:35,2018,4895
1006,F,28,1:21:36,2018,4896
1007,M,51,1:21:40,2018,4900
1008,F,40,1:21:43,2018,4903
1009,F,26,1:21:44,2018,4904
1010,F,30,1:21:47,2018,4907
1011,M,34,1:21:52,2018,4912
1012,F,32,1:22:00,2018,4920
1013,F,39,1:22:03,2018,4923
1014,M,66,1:22:06,2018,4926
1015,F,33,1:22:06,2018,4926
1016,F,38,1:22:08,2018,4928
1017,F,23,1:22:09,2018,4929
1018,F,54,1:22:11,2018,4931
1019,F,38,1:22:21,2018,4941
1020,M,31,1:22:22,2018,4942
1021,F,32,1:22:22,2018,4942
1022,M,66,1:22:24,2018,4944
1023,M,32,1:22:28,2018,4948
1024,M,41,1:22:32,2018,4952
1025,F,32,1:22:37,2018,4957
1026,F,36,1:22:40,2018,4960
1027,F,55,1:22:42,2018,4962
1028,M,24,1:22:42,2018,4962
1029,M,33,1:22:43,2018,4963
1030,M,40,1:22:50,2018,4970
1031,M,46,1:22:51,2018,4971
1032,M,37,1:22:52,2018,4972
1033,F,51,1:22:53,2018,4973
1034,M,45,1:22:57,2018,4977
1035,M,32,1:22:57,2018,4977
1036,F,17,1:22:58,2018,4978
1037,M,42,1:23:06,2018,4986
1038,F,43,1:23:08,2018,4988
1039,F,32,1:23:12,2018,4992
1040,M,35,1:23:12,2018,4992
1041,M,53,1:23:13,2018,4993
1042,M,51,1:23:18,2018,4998
1043,M,46,1:23:21,2018,5001
1044,M,46,1:23:26,2018,5006
1045,F,32,1:23:35,2018,5015
1046,M,34,1:23:35,2018,5015
1047,F,27,1:23:45,2018,5025
1048,M,58,1:23:50,2018,5030
1049,M,68,1:23:51,2018,5031
1050,M,35,1:23:53,2018,5033
